liver3D 18
TP,FP,TN,FN,DICE,CC
1675,1296,45891,290,0.618,3.1

liver3D 19
TP,FP,TN,FN,DICE,CC
1346,1737,45921,148,0.573,2.2

liver3D 20
TP,FP,TN,FN,DICE,CC
3362,290,44907,593,0.869,1.2

liver3D 21
TP,FP,TN,FN,DICE,CC
1064,1373,46702,14,0.552,2.6

liver3D 22
TP,FP,TN,FN,DICE,CC
1251,783,47068,50,0.711,2.9

liver3D 23
TP,FP,TN,FN,DICE,CC
1839,599,46532,182,0.823,2.6

liver3D 24
TP,FP,TN,FN,DICE,CC
3417,359,44971,405,0.896,1.1

liver3D 25
TP,FP,TN,FN,DICE,CC
1413,1264,46458,16,0.648,3.6

liver3D 26
TP,FP,TN,FN,DICE,CC
1739,1482,45760,172,0.619,2.8

liver3D 27
TP,FP,TN,FN,DICE,CC
1671,1099,46210,172,0.553,2.9

liver3D 28
TP,FP,TN,FN,DICE,CC
2222,1272,45531,127,0.723,2.2

liver3D 29
TP,FP,TN,FN,DICE,CC
1458,2668,44752,274,0.468,3.9

liver3D 30
TP,FP,TN,FN,DICE,CC
2234,401,46335,182,0.873,1.5

liver3D 31
TP,FP,TN,FN,DICE,CC
2824,794,45438,96,0.802,1.9

liver3D 32
TP,FP,TN,FN,DICE,CC
1631,1242,46064,215,0.543,4.8

liver3D 33
TP,FP,TN,FN,DICE,CC
825,2724,45536,67,0.348,4.7

liver3D 34
TP,FP,TN,FN,DICE,CC
2197,1368,45413,173,0.761,2.6

liver3D 35
TP,FP,TN,FN,DICE,CC
3686,331,44408,727,0.864,1.7

liver3D 36
TP,FP,TN,FN,DICE,CC
2596,276,46073,208,0.899,1.4

liver3D 37
TP,FP,TN,FN,DICE,CC
3068,520,45278,286,0.843,2.0

