liver3D 18
imgName,TP,FP,TN,FN,DICE,CC
1.tif,3608,1771,42913,860,0.733,5
2.tif,3480,1574,43510,588,0.763,5
3.tif,3096,1686,44003,367,0.751,4
4.tif,2883,1546,44472,251,0.762,3
5.tif,2721,1380,44630,421,0.751,2
6.tif,2295,1407,45224,226,0.738,4
7.tif,2022,1178,45671,281,0.735,3
8.tif,1581,1059,46153,359,0.69,3
9.tif,694,1341,47011,106,0.49,3
10.tif,675,1215,47137,125,0.502,3
11.tif,664,1171,47181,136,0.504,3
12.tif,647,1128,47224,153,0.503,3
13.tif,628,1101,47251,172,0.497,2
14.tif,615,1084,47268,185,0.492,2
15.tif,601,1055,47297,199,0.489,2
16.tif,597,1041,47311,203,0.49,2

liver3D 19
imgName,TP,FP,TN,FN,DICE,CC
1.tif,2541,2181,43947,483,0.656,3
2.tif,2309,2118,44529,196,0.666,3
3.tif,2126,1929,44929,168,0.67,3
4.tif,1847,1737,45413,155,0.661,2
5.tif,1569,1688,45788,107,0.636,2
6.tif,1182,1762,46139,69,0.564,2
7.tif,1076,1646,46391,39,0.561,2
8.tif,1040,1605,46432,75,0.553,2
9.tif,1018,1624,46413,97,0.542,2
10.tif,1004,1632,46405,111,0.535,2
11.tif,996,1672,46365,119,0.527,2
12.tif,993,1694,46343,122,0.522,2
13.tif,980,1688,46349,135,0.518,2
14.tif,962,1650,46387,153,0.516,2
15.tif,950,1605,46432,165,0.518,2
16.tif,939,1566,46471,176,0.519,2

liver3D 20
imgName,TP,FP,TN,FN,DICE,CC
1.tif,4937,230,42720,1265,0.869,1
2.tif,4706,313,43744,389,0.931,1
3.tif,4254,612,43576,710,0.866,1
4.tif,4434,300,44033,385,0.928,1
5.tif,4499,95,44140,418,0.946,1
6.tif,4247,175,44267,463,0.93,1
7.tif,4135,108,44352,557,0.926,1
8.tif,3776,249,44496,631,0.896,1
9.tif,3509,241,44851,551,0.899,1
10.tif,3256,243,44988,665,0.878,1
11.tif,2933,315,45314,590,0.866,1
12.tif,2677,312,45360,803,0.828,1
13.tif,2244,330,45812,766,0.804,2
14.tif,1822,330,46211,789,0.765,1
15.tif,1398,309,47055,390,0.8,1
16.tif,971,474,47587,120,0.766,3

liver3D 21
imgName,TP,FP,TN,FN,DICE,CC
1.tif,2545,1669,44914,24,0.75,3
2.tif,2303,1608,45239,2,0.741,3
3.tif,1950,1684,45515,3,0.698,3
4.tif,1589,1914,45642,7,0.623,3
5.tif,1512,1797,45843,0,0.627,4
6.tif,1469,1440,46198,45,0.664,2
7.tif,1118,1307,46718,9,0.63,3
8.tif,731,1290,47130,1,0.531,2
