allBN_100.pt 18
TP,FP,TN,FN,DICE,CC
1586,1323,45864,379,0.591,3.4

allBN_100.pt 19
TP,FP,TN,FN,DICE,CC
1355,1537,46121,138,0.601,2.1

allBN_100.pt 20
TP,FP,TN,FN,DICE,CC
3270,208,44988,686,0.875,2.2

allBN_100.pt 21
TP,FP,TN,FN,DICE,CC
1016,1338,46736,62,0.611,4.5

allBN_100.pt 22
TP,FP,TN,FN,DICE,CC
1279,922,46929,22,0.74,4.1

allBN_100.pt 23
TP,FP,TN,FN,DICE,CC
1717,1531,45600,305,0.635,5.2

allBN_100.pt 24
TP,FP,TN,FN,DICE,CC
3342,661,44670,480,0.855,2.2

allBN_100.pt 25
TP,FP,TN,FN,DICE,CC
1364,614,47108,65,0.776,3.2

allBN_100.pt 26
TP,FP,TN,FN,DICE,CC
1613,1249,45992,298,0.612,3.8

allBN_100.pt 27
TP,FP,TN,FN,DICE,CC
1666,760,46548,177,0.603,3.1

allBN_100.pt 28
TP,FP,TN,FN,DICE,CC
2195,958,45846,154,0.777,3.1

allBN_100.pt 29
TP,FP,TN,FN,DICE,CC
1542,2897,44523,190,0.47,4.4

allBN_100.pt 30
TP,FP,TN,FN,DICE,CC
2033,435,46302,382,0.752,1.9

allBN_100.pt 31
TP,FP,TN,FN,DICE,CC
2746,532,45700,174,0.846,2.0

allBN_100.pt 32
TP,FP,TN,FN,DICE,CC
1627,1480,45826,219,0.489,5.3

allBN_100.pt 33
TP,FP,TN,FN,DICE,CC
848,3469,44791,44,0.314,6.1

allBN_100.pt 34
TP,FP,TN,FN,DICE,CC
2138,1400,45381,233,0.732,5.6

allBN_100.pt 35
TP,FP,TN,FN,DICE,CC
3366,296,44442,1048,0.826,1.8

allBN_100.pt 36
TP,FP,TN,FN,DICE,CC
2441,219,46130,362,0.893,1.7

allBN_100.pt 37
TP,FP,TN,FN,DICE,CC
3021,664,45133,333,0.832,3.1

