allBN_DA_Base_50 18
TP,FP,TN,FN,DICE,CC
1270,1876,45311,695,0.483,5.1

allBN_DA_Base_50 19
TP,FP,TN,FN,DICE,CC
1301,1426,46232,192,0.611,3.7

allBN_DA_Base_50 20
TP,FP,TN,FN,DICE,CC
3277,1342,43855,679,0.738,3.4

allBN_DA_Base_50 21
TP,FP,TN,FN,DICE,CC
947,3161,44914,131,0.357,4.8

allBN_DA_Base_50 22
TP,FP,TN,FN,DICE,CC
1011,2057,45794,290,0.473,5.8

allBN_DA_Base_50 23
TP,FP,TN,FN,DICE,CC
834,2540,44590,1188,0.309,8.6

allBN_DA_Base_50 24
TP,FP,TN,FN,DICE,CC
2857,813,44517,965,0.765,1.9

allBN_DA_Base_50 25
TP,FP,TN,FN,DICE,CC
1152,2024,45699,277,0.494,3.9

allBN_DA_Base_50 26
TP,FP,TN,FN,DICE,CC
1365,1624,45618,546,0.533,2.9

allBN_DA_Base_50 27
TP,FP,TN,FN,DICE,CC
1071,2196,45112,772,0.381,4.5

allBN_DA_Base_50 28
TP,FP,TN,FN,DICE,CC
2018,2864,43939,331,0.545,2.7

allBN_DA_Base_50 29
TP,FP,TN,FN,DICE,CC
1353,2426,44994,379,0.477,5.9

allBN_DA_Base_50 30
TP,FP,TN,FN,DICE,CC
1720,1268,45468,696,0.588,3.8

allBN_DA_Base_50 31
TP,FP,TN,FN,DICE,CC
2235,2012,44220,685,0.584,3.4

allBN_DA_Base_50 32
TP,FP,TN,FN,DICE,CC
1424,1970,45336,422,0.499,4.6

allBN_DA_Base_50 33
TP,FP,TN,FN,DICE,CC
309,4034,44226,583,0.124,7.6

allBN_DA_Base_50 34
TP,FP,TN,FN,DICE,CC
2021,2072,44709,350,0.621,3.7

allBN_DA_Base_50 35
TP,FP,TN,FN,DICE,CC
3249,932,43807,1164,0.755,4.5

allBN_DA_Base_50 36
TP,FP,TN,FN,DICE,CC
1906,544,45805,898,0.692,2.4

allBN_DA_Base_50 37
TP,FP,TN,FN,DICE,CC
2656,952,44846,699,0.725,4.3

