allBN_DA_Dupl_50 18
TP,FP,TN,FN,DICE,CC
617,2151,45036,1348,0.275,5.9

allBN_DA_Dupl_50 19
TP,FP,TN,FN,DICE,CC
997,1637,46021,496,0.49,3.3

allBN_DA_Dupl_50 20
TP,FP,TN,FN,DICE,CC
2327,1476,43720,1629,0.586,3.5

allBN_DA_Dupl_50 21
TP,FP,TN,FN,DICE,CC
464,656,47419,613,0.462,5.0

allBN_DA_Dupl_50 22
TP,FP,TN,FN,DICE,CC
617,1233,46619,684,0.445,6.1

allBN_DA_Dupl_50 23
TP,FP,TN,FN,DICE,CC
1139,1104,46027,882,0.539,3.4

allBN_DA_Dupl_50 24
TP,FP,TN,FN,DICE,CC
1806,1676,43654,2016,0.507,2.7

allBN_DA_Dupl_50 25
TP,FP,TN,FN,DICE,CC
780,881,46842,650,0.54,4.8

allBN_DA_Dupl_50 26
TP,FP,TN,FN,DICE,CC
584,2078,45164,1326,0.25,5.1

allBN_DA_Dupl_50 27
TP,FP,TN,FN,DICE,CC
394,1670,45639,1450,0.236,4.4

allBN_DA_Dupl_50 28
TP,FP,TN,FN,DICE,CC
1102,1636,45168,1246,0.431,6.1

allBN_DA_Dupl_50 29
TP,FP,TN,FN,DICE,CC
1086,2632,44788,646,0.398,5.9

allBN_DA_Dupl_50 30
TP,FP,TN,FN,DICE,CC
506,1566,45170,1910,0.243,4.4

allBN_DA_Dupl_50 31
TP,FP,TN,FN,DICE,CC
1422,1698,44534,1497,0.468,2.3

allBN_DA_Dupl_50 32
TP,FP,TN,FN,DICE,CC
786,2035,45271,1060,0.348,7.0

allBN_DA_Dupl_50 33
TP,FP,TN,FN,DICE,CC
573,3685,44575,319,0.227,7.1

allBN_DA_Dupl_50 34
TP,FP,TN,FN,DICE,CC
1422,1613,45168,949,0.518,6.0

allBN_DA_Dupl_50 35
TP,FP,TN,FN,DICE,CC
2484,1595,43144,1929,0.595,2.3

allBN_DA_Dupl_50 36
TP,FP,TN,FN,DICE,CC
1090,1317,45031,1713,0.429,1.6

allBN_DA_Dupl_50 37
TP,FP,TN,FN,DICE,CC
1655,1572,44226,1699,0.488,3.1

