butSelf CA_029
TP,FP,TN,FN,DICE,CC
4614,268,43854,416,0.931,1.2

butSelf CMC_030
TP,FP,TN,FN,DICE,CC
2952,878,44971,350,0.821,3.2

butSelf GM_035
TP,FP,TN,FN,DICE,CC
2280,383,46303,186,0.868,1.4

butSelf LM_036
TP,FP,TN,FN,DICE,CC
958,998,46725,470,0.428,3.3

butSelf MA_033
TP,FP,TN,FN,DICE,CC
1968,873,45828,483,0.684,2.5

butSelf MC_031
TP,FP,TN,FN,DICE,CC
3196,262,45251,443,0.905,1.6

butSelf MF_037
TP,FP,TN,FN,DICE,CC
2818,724,45389,222,0.86,1.6

butSelf MP_034
TP,FP,TN,FN,DICE,CC
1962,260,46624,306,0.885,1.2

butSelf SJP_028
TP,FP,TN,FN,DICE,CC
1667,128,46903,454,0.868,1.7

butSelf SN_032
TP,FP,TN,FN,DICE,CC
3740,294,43626,1493,0.781,1.8

