fromOldCA_029 AD_068
TP,FP,TN,FN,DICE,CC
3214,378,44890,670,0.853,1.8

fromOldCA_029 BB_038
TP,FP,TN,FN,DICE,CC
1188,3039,43247,1678,0.332,13.4

fromOldCA_029 BG_052
TP,FP,TN,FN,DICE,CC
3190,302,45126,535,0.886,1.6

fromOldCA_029 BJM_045
TP,FP,TN,FN,DICE,CC
2033,1467,44814,838,0.582,3.8

fromOldCA_029 BJ_043
TP,FP,TN,FN,DICE,CC
15,1643,46596,898,0.011,2.0

fromOldCA_029 BL_047
TP,FP,TN,FN,DICE,CC
2948,590,44268,1347,0.767,2.5

fromOldCA_029 CA_029
TP,FP,TN,FN,DICE,CC
4614,268,43854,416,0.931,1.2

fromOldCA_029 CB_044
TP,FP,TN,FN,DICE,CC
1572,1596,45575,409,0.554,2.4

fromOldCA_029 CC_059
TP,FP,TN,FN,DICE,CC
2669,322,44966,1194,0.764,4.0

fromOldCA_029 CMC_030
TP,FP,TN,FN,DICE,CC
2810,167,45682,492,0.912,1.7

fromOldCA_029 DM_050
TP,FP,TN,FN,DICE,CC
1812,232,46714,394,0.8,1.9

fromOldCA_029 DM_061
TP,FP,TN,FN,DICE,CC
2155,2870,42921,1206,0.472,4.9

fromOldCA_029 DN_072
TP,FP,TN,FN,DICE,CC
1145,435,47357,214,0.736,3.2

fromOldCA_029 FP_046
TP,FP,TN,FN,DICE,CC
2242,410,46168,331,0.854,1.9

fromOldCA_029 GM_035
TP,FP,TN,FN,DICE,CC
2258,253,46433,208,0.895,1.5

fromOldCA_029 KK_062
TP,FP,TN,FN,DICE,CC
1511,188,46990,462,0.821,1.8

fromOldCA_029 LM_036
TP,FP,TN,FN,DICE,CC
1149,644,47080,279,0.698,2.1

fromOldCA_029 LM_039
TP,FP,TN,FN,DICE,CC
1381,242,47217,312,0.842,2.2

fromOldCA_029 MA_033
TP,FP,TN,FN,DICE,CC
2048,794,45907,403,0.753,3.0

fromOldCA_029 MB_058
TP,FP,TN,FN,DICE,CC
2386,1435,43863,1468,0.636,3.1

fromOldCA_029 MC_031
TP,FP,TN,FN,DICE,CC
3309,237,45277,330,0.916,1.6

fromOldCA_029 MC_067
TP,FP,TN,FN,DICE,CC
1040,847,46842,423,0.612,5.6

fromOldCA_029 MD_040
TP,FP,TN,FN,DICE,CC
1227,994,45952,979,0.411,2.1

fromOldCA_029 MF_037
TP,FP,TN,FN,DICE,CC
2799,503,45610,240,0.885,2.0

fromOldCA_029 ML_049
TP,FP,TN,FN,DICE,CC
1628,998,45929,597,0.578,3.6

fromOldCA_029 MP_034
TP,FP,TN,FN,DICE,CC
2045,368,46516,223,0.889,1.7

fromOldCA_029 MR_070
TP,FP,TN,FN,DICE,CC
1842,193,46249,867,0.774,1.6

fromOldCA_029 MY_041
TP,FP,TN,FN,DICE,CC
1347,1561,44653,1592,0.364,4.7

fromOldCA_029 OM_064
TP,FP,TN,FN,DICE,CC
1450,436,45861,1405,0.498,2.9

fromOldCA_029 OM_065
TP,FP,TN,FN,DICE,CC
3139,342,44392,1279,0.808,3.7

fromOldCA_029 PJC_071
TP,FP,TN,FN,DICE,CC
2054,1223,45002,873,0.561,3.7

fromOldCA_029 RF_063
TP,FP,TN,FN,DICE,CC
1737,721,46091,603,0.581,3.2

fromOldCA_029 RG_042
TP,FP,TN,FN,DICE,CC
952,2545,45360,295,0.359,5.4

fromOldCA_029 RM_069
TP,FP,TN,FN,DICE,CC
974,721,46102,1355,0.373,2.2

fromOldCA_029 SF_053
TP,FP,TN,FN,DICE,CC
1575,66,47204,307,0.902,1.1

fromOldCA_029 SF_066
TP,FP,TN,FN,DICE,CC
839,1328,44495,2491,0.316,7.7

fromOldCA_029 SJP_028
TP,FP,TN,FN,DICE,CC
1718,136,46895,403,0.891,1.9

fromOldCA_029 SN_032
TP,FP,TN,FN,DICE,CC
4357,278,43641,875,0.871,2.0

fromOldCA_029 TA_051
TP,FP,TN,FN,DICE,CC
2438,780,45239,695,0.748,3.1

fromOldCA_029 TD_056
TP,FP,TN,FN,DICE,CC
2266,1147,44667,1072,0.624,3.6

