BaseVessels_drop AD_068
TP,FP,TN,FN,DICE,CC
3551,695,44573,333,0.861,1.6

BaseVessels_drop BB_038
TP,FP,TN,FN,DICE,CC
2764,863,45423,102,0.863,4.2

BaseVessels_drop BG_052
TP,FP,TN,FN,DICE,CC
3274,212,45216,450,0.903,1.1

BaseVessels_drop BL_047
TP,FP,TN,FN,DICE,CC
2916,245,44612,1378,0.78,1.5

BaseVessels_drop CA_029
TP,FP,TN,FN,DICE,CC
4697,423,43699,334,0.925,1.6

BaseVessels_drop CMC_030
TP,FP,TN,FN,DICE,CC
3067,577,45273,235,0.875,1.6

BaseVessels_drop DM_050
TP,FP,TN,FN,DICE,CC
1771,343,46603,435,0.764,1.8

BaseVessels_drop FP_046
TP,FP,TN,FN,DICE,CC
2119,380,46199,454,0.834,1.3

BaseVessels_drop GM_035
TP,FP,TN,FN,DICE,CC
1476,179,46507,990,0.708,3.3

BaseVessels_drop KK_062
TP,FP,TN,FN,DICE,CC
1562,234,46944,412,0.825,1.9

BaseVessels_drop LM_039
TP,FP,TN,FN,DICE,CC
1464,160,47299,229,0.897,1.0

BaseVessels_drop MC_031
TP,FP,TN,FN,DICE,CC
3310,423,45091,329,0.896,1.3

BaseVessels_drop MF_037
TP,FP,TN,FN,DICE,CC
2369,407,45705,671,0.808,1.3

BaseVessels_drop MP_034
TP,FP,TN,FN,DICE,CC
1723,474,46410,545,0.81,1.9

BaseVessels_drop OM_065
TP,FP,TN,FN,DICE,CC
3196,209,44525,1222,0.822,1.5

BaseVessels_drop SF_053
TP,FP,TN,FN,DICE,CC
1616,81,47189,266,0.901,1.2

BaseVessels_drop SJP_028
TP,FP,TN,FN,DICE,CC
1743,128,46903,378,0.898,1.3

