BaseVessels_drop BJM_045
TP,FP,TN,FN,DICE,CC
1801,1481,44800,1070,0.53,3.8

BaseVessels_drop BJ_043
TP,FP,TN,FN,DICE,CC
238,1690,46549,675,0.132,1.3

BaseVessels_drop CB_044
TP,FP,TN,FN,DICE,CC
1648,1437,45734,333,0.598,2.4

BaseVessels_drop CC_059
TP,FP,TN,FN,DICE,CC
2659,166,45122,1205,0.795,1.7

BaseVessels_drop DM_061
TP,FP,TN,FN,DICE,CC
2360,1460,44331,1001,0.54,5.3

BaseVessels_drop DN_072
TP,FP,TN,FN,DICE,CC
1269,208,47585,91,0.878,2.0

BaseVessels_drop LM_036
TP,FP,TN,FN,DICE,CC
1109,967,46756,320,0.598,2.7

BaseVessels_drop MA_033
TP,FP,TN,FN,DICE,CC
2159,638,46063,292,0.807,2.4

BaseVessels_drop MB_058
TP,FP,TN,FN,DICE,CC
2863,1066,44232,990,0.72,2.4

BaseVessels_drop MC_067
TP,FP,TN,FN,DICE,CC
1285,611,47078,178,0.741,2.2

BaseVessels_drop MD_040
TP,FP,TN,FN,DICE,CC
1324,1090,45856,881,0.431,2.2

BaseVessels_drop ML_049
TP,FP,TN,FN,DICE,CC
1657,790,46137,568,0.573,2.5

BaseVessels_drop MR_070
TP,FP,TN,FN,DICE,CC
1986,225,46217,724,0.821,1.4

BaseVessels_drop MY_041
TP,FP,TN,FN,DICE,CC
2046,1385,44828,893,0.632,4.8

BaseVessels_drop OM_064
TP,FP,TN,FN,DICE,CC
1667,315,45981,1188,0.59,1.8

BaseVessels_drop PJC_071
TP,FP,TN,FN,DICE,CC
2507,993,45232,420,0.673,2.3

BaseVessels_drop RF_063
TP,FP,TN,FN,DICE,CC
1956,900,45912,384,0.638,3.8

BaseVessels_drop RG_042
TP,FP,TN,FN,DICE,CC
1090,2066,45838,157,0.479,3.9

BaseVessels_drop RM_069
TP,FP,TN,FN,DICE,CC
1737,961,45862,593,0.641,3.0

BaseVessels_drop SF_066
TP,FP,TN,FN,DICE,CC
224,634,45189,3105,0.088,7.7

BaseVessels_drop SN_032
TP,FP,TN,FN,DICE,CC
4558,360,43559,675,0.868,1.5

BaseVessels_drop TA_051
TP,FP,TN,FN,DICE,CC
2599,189,45830,534,0.87,1.4

BaseVessels_drop TD_056
TP,FP,TN,FN,DICE,CC
2970,939,44875,368,0.779,2.8

