baseVessels AD_068
TP,FP,TN,FN,DICE,CC
3243,510,44758,641,0.846,1.2

baseVessels BB_038
TP,FP,TN,FN,DICE,CC
2735,542,45744,131,0.897,5.9

baseVessels BG_052
TP,FP,TN,FN,DICE,CC
3311,315,45112,413,0.891,1.6

baseVessels BL_047
TP,FP,TN,FN,DICE,CC
3393,699,44158,901,0.805,4.8

baseVessels CA_029
TP,FP,TN,FN,DICE,CC
4391,133,43989,639,0.917,1.0

baseVessels CMC_030
TP,FP,TN,FN,DICE,CC
2845,460,45390,457,0.864,1.6

baseVessels DM_050
TP,FP,TN,FN,DICE,CC
1907,303,46643,299,0.793,1.8

baseVessels FP_046
TP,FP,TN,FN,DICE,CC
2261,430,46148,313,0.852,2.9

baseVessels GM_035
TP,FP,TN,FN,DICE,CC
1639,108,46579,827,0.767,1.5

baseVessels KK_062
TP,FP,TN,FN,DICE,CC
1433,116,47063,541,0.825,1.1

baseVessels LM_039
TP,FP,TN,FN,DICE,CC
1482,167,47292,211,0.898,1.1

baseVessels MC_031
TP,FP,TN,FN,DICE,CC
3172,451,45062,467,0.856,2.2

baseVessels MF_037
TP,FP,TN,FN,DICE,CC
2746,565,45547,294,0.866,1.8

baseVessels MP_034
TP,FP,TN,FN,DICE,CC
2002,394,46490,266,0.869,1.7

baseVessels OM_065
TP,FP,TN,FN,DICE,CC
3189,272,44462,1229,0.813,1.1

baseVessels SF_053
TP,FP,TN,FN,DICE,CC
1602,123,47148,280,0.884,1.2

baseVessels SJP_028
TP,FP,TN,FN,DICE,CC
1850,189,46842,271,0.896,1.7

