NewKernel AD_068
TP,FP,TN,FN,DICE,CC
3376,672,44596,508,0.845,1.2

NewKernel BB_038
TP,FP,TN,FN,DICE,CC
2585,373,45913,281,0.894,1.6

NewKernel BG_052
TP,FP,TN,FN,DICE,CC
3299,282,45146,426,0.898,1.5

NewKernel BL_047
TP,FP,TN,FN,DICE,CC
2609,359,44498,1685,0.729,2.1

NewKernel CA_029
TP,FP,TN,FN,DICE,CC
4371,445,43677,660,0.888,1.7

NewKernel CMC_030
TP,FP,TN,FN,DICE,CC
2980,630,45220,323,0.866,1.9

NewKernel DM_050
TP,FP,TN,FN,DICE,CC
1771,776,46171,434,0.752,4.7

NewKernel FP_046
TP,FP,TN,FN,DICE,CC
2331,442,46137,243,0.865,2.1

NewKernel GM_035
TP,FP,TN,FN,DICE,CC
1971,190,46496,495,0.833,1.3

NewKernel KK_062
TP,FP,TN,FN,DICE,CC
1439,129,47050,534,0.827,1.7

NewKernel LM_039
TP,FP,TN,FN,DICE,CC
1368,99,47360,326,0.88,1.2

NewKernel MC_031
TP,FP,TN,FN,DICE,CC
3314,598,44915,325,0.872,1.6

NewKernel MF_037
TP,FP,TN,FN,DICE,CC
2296,326,45786,743,0.808,1.2

NewKernel MP_034
TP,FP,TN,FN,DICE,CC
2038,318,46566,230,0.887,1.5

NewKernel OM_065
TP,FP,TN,FN,DICE,CC
3272,227,44507,1147,0.828,1.4

NewKernel SF_053
TP,FP,TN,FN,DICE,CC
1640,161,47109,242,0.882,1.5

NewKernel SJP_028
TP,FP,TN,FN,DICE,CC
1724,135,46896,398,0.896,1.3

