NewKernel BJM_045
TP,FP,TN,FN,DICE,CC
1352,2291,43990,1519,0.354,5.6

NewKernel BJ_043
TP,FP,TN,FN,DICE,CC
12,1635,46604,901,0.009,1.3

NewKernel CB_044
TP,FP,TN,FN,DICE,CC
1753,1095,46076,228,0.7,2.6

NewKernel CC_059
TP,FP,TN,FN,DICE,CC
2931,882,44406,933,0.733,3.9

NewKernel DM_061
TP,FP,TN,FN,DICE,CC
2071,3030,42761,1290,0.458,8.2

NewKernel DN_072
TP,FP,TN,FN,DICE,CC
1248,318,47475,111,0.855,2.5

NewKernel LM_036
TP,FP,TN,FN,DICE,CC
981,1370,46354,447,0.417,4.6

NewKernel MA_033
TP,FP,TN,FN,DICE,CC
2064,1004,45697,387,0.703,3.8

NewKernel MB_058
TP,FP,TN,FN,DICE,CC
2493,1134,44165,1361,0.661,2.7

NewKernel MC_067
TP,FP,TN,FN,DICE,CC
1187,320,47369,276,0.794,3.4

NewKernel MD_040
TP,FP,TN,FN,DICE,CC
1104,1075,45872,1101,0.353,2.0

NewKernel ML_049
TP,FP,TN,FN,DICE,CC
1392,1631,45296,833,0.538,6.0

NewKernel MR_070
TP,FP,TN,FN,DICE,CC
2108,348,46095,602,0.824,1.9

NewKernel MY_041
TP,FP,TN,FN,DICE,CC
2064,2393,43821,874,0.55,4.5

NewKernel OM_064
TP,FP,TN,FN,DICE,CC
1879,554,45743,977,0.601,3.1

NewKernel PJC_071
TP,FP,TN,FN,DICE,CC
2067,875,45350,860,0.56,4.1

NewKernel RF_063
TP,FP,TN,FN,DICE,CC
1224,1026,45786,1116,0.449,4.6

NewKernel RG_042
TP,FP,TN,FN,DICE,CC
1057,3166,44739,190,0.381,4.5

NewKernel RM_069
TP,FP,TN,FN,DICE,CC
1788,1592,45231,542,0.555,9.6

NewKernel SF_066
TP,FP,TN,FN,DICE,CC
1630,2110,43713,1699,0.462,14.8

NewKernel SN_032
TP,FP,TN,FN,DICE,CC
3806,376,43543,1427,0.773,2.7

NewKernel TA_051
TP,FP,TN,FN,DICE,CC
2212,154,45865,921,0.822,1.9

NewKernel TD_056
TP,FP,TN,FN,DICE,CC
2648,940,44874,689,0.745,3.9

