baseVessels BJM_045
TP,FP,TN,FN,DICE,CC
1869,1602,44679,1002,0.556,4.2

baseVessels BJ_043
TP,FP,TN,FN,DICE,CC
167,1638,46601,747,0.102,1.3

baseVessels CB_044
TP,FP,TN,FN,DICE,CC
1689,1504,45667,292,0.593,2.1

baseVessels CC_059
TP,FP,TN,FN,DICE,CC
3264,733,44555,600,0.791,2.8

baseVessels DM_061
TP,FP,TN,FN,DICE,CC
2422,2089,43702,939,0.51,6.0

baseVessels DN_072
TP,FP,TN,FN,DICE,CC
1222,242,47551,137,0.875,1.3

baseVessels LM_036
TP,FP,TN,FN,DICE,CC
1208,1099,46625,220,0.58,3.4

baseVessels MA_033
TP,FP,TN,FN,DICE,CC
1946,979,45722,505,0.672,2.1

baseVessels MB_058
TP,FP,TN,FN,DICE,CC
3088,1270,44029,765,0.74,2.6

baseVessels MC_067
TP,FP,TN,FN,DICE,CC
1213,411,47278,250,0.764,2.2

baseVessels MD_040
TP,FP,TN,FN,DICE,CC
458,1000,45947,1748,0.175,1.8

baseVessels ML_049
TP,FP,TN,FN,DICE,CC
1553,687,46240,672,0.517,2.8

baseVessels MR_070
TP,FP,TN,FN,DICE,CC
2048,318,46124,662,0.813,1.4

baseVessels MY_041
TP,FP,TN,FN,DICE,CC
2043,2011,44202,896,0.571,3.5

baseVessels OM_064
TP,FP,TN,FN,DICE,CC
1815,279,46017,1041,0.613,1.5

baseVessels PJC_071
TP,FP,TN,FN,DICE,CC
2340,797,45428,586,0.63,2.4

baseVessels RF_063
TP,FP,TN,FN,DICE,CC
1932,1051,45761,408,0.646,4.1

baseVessels RG_042
TP,FP,TN,FN,DICE,CC
1180,2560,45345,67,0.47,4.8

baseVessels RM_069
TP,FP,TN,FN,DICE,CC
1495,1498,45325,835,0.492,3.7

baseVessels SF_066
TP,FP,TN,FN,DICE,CC
409,1515,44307,2920,0.136,4.7

baseVessels SN_032
TP,FP,TN,FN,DICE,CC
4375,380,43539,857,0.854,1.9

baseVessels TA_051
TP,FP,TN,FN,DICE,CC
2312,228,45791,821,0.832,1.4

baseVessels TD_056
TP,FP,TN,FN,DICE,CC
2746,850,44964,592,0.763,2.9

