resnet50_last AD_068
TP,FP,TN,FN,DICE,CC
3002,1143,44124,883,0.732,3.5

resnet50_last BB_038
TP,FP,TN,FN,DICE,CC
1104,403,45883,1762,0.447,6.1

resnet50_last BG_052
TP,FP,TN,FN,DICE,CC
2765,1237,44190,960,0.697,5.6

resnet50_last BL_047
TP,FP,TN,FN,DICE,CC
583,503,44354,3712,0.238,5.6

resnet50_last CA_029
TP,FP,TN,FN,DICE,CC
3042,318,43804,1989,0.721,2.6

resnet50_last CMC_030
TP,FP,TN,FN,DICE,CC
2237,758,45091,1066,0.727,4.3

resnet50_last DM_050
TP,FP,TN,FN,DICE,CC
1610,699,46248,596,0.626,4.5

resnet50_last FP_046
TP,FP,TN,FN,DICE,CC
2308,1863,44716,266,0.663,4.0

resnet50_last GM_035
TP,FP,TN,FN,DICE,CC
1917,1229,45458,548,0.629,4.6

resnet50_last KK_062
TP,FP,TN,FN,DICE,CC
1528,831,46347,445,0.688,4.3

resnet50_last LM_039
TP,FP,TN,FN,DICE,CC
1274,986,46472,419,0.63,3.0

resnet50_last MC_031
TP,FP,TN,FN,DICE,CC
2744,1561,43953,895,0.677,5.3

resnet50_last MF_037
TP,FP,TN,FN,DICE,CC
1807,1186,44926,1232,0.593,5.8

resnet50_last MP_034
TP,FP,TN,FN,DICE,CC
1568,1649,45235,700,0.543,5.9

resnet50_last OM_065
TP,FP,TN,FN,DICE,CC
1425,514,44219,2994,0.447,5.4

resnet50_last SF_053
TP,FP,TN,FN,DICE,CC
1099,1029,46241,783,0.53,5.6

resnet50_last SJP_028
TP,FP,TN,FN,DICE,CC
1536,1123,45908,585,0.631,3.6

