resnet50_last BJM_045
TP,FP,TN,FN,DICE,CC
535,2476,43805,2336,0.172,4.1

resnet50_last BJ_043
TP,FP,TN,FN,DICE,CC
95,2243,45995,818,0.055,5.3

resnet50_last CB_044
TP,FP,TN,FN,DICE,CC
1139,2064,45107,842,0.408,3.6

resnet50_last CC_059
TP,FP,TN,FN,DICE,CC
1179,871,44418,2685,0.345,6.0

resnet50_last DM_061
TP,FP,TN,FN,DICE,CC
851,576,45215,2510,0.239,6.5

resnet50_last DN_072
TP,FP,TN,FN,DICE,CC
945,735,47058,415,0.475,4.5

resnet50_last LM_036
TP,FP,TN,FN,DICE,CC
364,1549,46174,1064,0.19,7.1

resnet50_last MA_033
TP,FP,TN,FN,DICE,CC
673,1370,45331,1778,0.275,5.0

resnet50_last MB_058
TP,FP,TN,FN,DICE,CC
1041,1114,44185,2812,0.345,6.8

resnet50_last MC_067
TP,FP,TN,FN,DICE,CC
894,1014,46676,569,0.462,5.6

resnet50_last MD_040
TP,FP,TN,FN,DICE,CC
693,1931,45015,1513,0.243,4.5

resnet50_last ML_049
TP,FP,TN,FN,DICE,CC
1349,741,46186,876,0.447,4.9

resnet50_last MR_070
TP,FP,TN,FN,DICE,CC
1897,1231,45211,812,0.631,6.2

resnet50_last MY_041
TP,FP,TN,FN,DICE,CC
413,1211,45002,2526,0.158,7.2

resnet50_last OM_064
TP,FP,TN,FN,DICE,CC
1438,1001,45295,1417,0.379,7.5

resnet50_last PJC_071
TP,FP,TN,FN,DICE,CC
902,1551,44674,2024,0.258,4.4

resnet50_last RF_063
TP,FP,TN,FN,DICE,CC
627,1260,45552,1713,0.217,6.6

resnet50_last RG_042
TP,FP,TN,FN,DICE,CC
409,2119,45786,838,0.184,9.2

resnet50_last RM_069
TP,FP,TN,FN,DICE,CC
741,1202,45621,1588,0.275,6.5

resnet50_last SF_066
TP,FP,TN,FN,DICE,CC
1122,625,45197,2208,0.431,5.8

resnet50_last SN_032
TP,FP,TN,FN,DICE,CC
1339,635,43284,3894,0.321,5.8

resnet50_last TA_051
TP,FP,TN,FN,DICE,CC
2022,668,45351,1112,0.66,4.1

resnet50_last TD_056
TP,FP,TN,FN,DICE,CC
1155,1054,44760,2183,0.381,6.7

