post 18_close
TP,FP,TN,FN,DICE,CC
1676,1301,45886,289,0.618,2.9

post 19_close
TP,FP,TN,FN,DICE,CC
1346,1740,45918,148,0.573,2.2

post 20_close
TP,FP,TN,FN,DICE,CC
3367,295,44901,589,0.868,1.2

post 21_close
TP,FP,TN,FN,DICE,CC
1064,1394,46680,13,0.548,2.4

post 22_close
TP,FP,TN,FN,DICE,CC
1251,787,47064,50,0.71,2.9

post 23_close
TP,FP,TN,FN,DICE,CC
1840,605,46526,181,0.822,2.6

post 24_close
TP,FP,TN,FN,DICE,CC
3419,365,44966,403,0.895,1.1

post 25_close
TP,FP,TN,FN,DICE,CC
1416,1306,46416,14,0.641,2.9

post 26_close
TP,FP,TN,FN,DICE,CC
1740,1487,45754,171,0.619,2.8

post 27_close
TP,FP,TN,FN,DICE,CC
1672,1103,46205,171,0.553,2.9

post 28_close
TP,FP,TN,FN,DICE,CC
2224,1314,45490,124,0.716,2.0

post 29_close
TP,FP,TN,FN,DICE,CC
1458,2687,44733,274,0.466,3.9

post 30_close
TP,FP,TN,FN,DICE,CC
2240,405,46331,176,0.874,1.5

post 31_close
TP,FP,TN,FN,DICE,CC
2826,813,45420,94,0.8,1.7

post 32_close
TP,FP,TN,FN,DICE,CC
1632,1246,46059,214,0.542,4.8

post 33_close
TP,FP,TN,FN,DICE,CC
826,2809,45451,66,0.341,4.4

post 34_close
TP,FP,TN,FN,DICE,CC
2199,1385,45396,172,0.759,2.5

post 35_close
TP,FP,TN,FN,DICE,CC
3687,333,44406,726,0.864,1.7

post 36_close
TP,FP,TN,FN,DICE,CC
2598,278,46070,205,0.899,1.3

post 37_close
TP,FP,TN,FN,DICE,CC
3071,536,45261,283,0.841,1.9

