post 18_close_one
TP,FP,TN,FN,DICE,CC
1676,239,46948,289,0.838,1.6

post 19_close_one
TP,FP,TN,FN,DICE,CC
1346,218,47440,148,0.876,1.0

post 20_close_one
TP,FP,TN,FN,DICE,CC
3367,295,44901,589,0.868,1.2

post 21_close_one
TP,FP,TN,FN,DICE,CC
1064,420,47654,13,0.809,1.1

post 22_close_one
TP,FP,TN,FN,DICE,CC
1251,371,47480,50,0.867,1.2

post 23_close_one
TP,FP,TN,FN,DICE,CC
1840,373,46758,181,0.872,1.1

post 24_close_one
TP,FP,TN,FN,DICE,CC
3419,365,44966,403,0.895,1.1

post 25_close_one
TP,FP,TN,FN,DICE,CC
1416,1046,46676,14,0.697,1.6

post 26_close_one
TP,FP,TN,FN,DICE,CC
1740,304,46938,171,0.835,1.8

post 27_close_one
TP,FP,TN,FN,DICE,CC
1672,319,46990,171,0.832,1.4

post 28_close_one
TP,FP,TN,FN,DICE,CC
2224,996,45808,124,0.779,1.2

post 29_close_one
TP,FP,TN,FN,DICE,CC
1451,1737,45683,281,0.556,1.9

post 30_close_one
TP,FP,TN,FN,DICE,CC
2240,405,46331,176,0.874,1.5

post 31_close_one
TP,FP,TN,FN,DICE,CC
2826,813,45420,94,0.8,1.7

post 32_close_one
TP,FP,TN,FN,DICE,CC
1632,664,46642,214,0.635,2.2

post 33_close_one
TP,FP,TN,FN,DICE,CC
0,1944,46316,892,0.0,1.6

post 34_close_one
TP,FP,TN,FN,DICE,CC
2199,974,45807,172,0.798,1.2

post 35_close_one
TP,FP,TN,FN,DICE,CC
3687,333,44406,726,0.864,1.7

post 36_close_one
TP,FP,TN,FN,DICE,CC
2598,278,46070,205,0.899,1.3

post 37_close_one
TP,FP,TN,FN,DICE,CC
3071,536,45261,283,0.841,1.9

