CA_029 CMC_030
TP,FP,TN,FN,DICE,CC
4685,1191,42032,1244,0.794,4.3

CA_029 GM_035
TP,FP,TN,FN,DICE,CC
0,6818,38820,3514,0.0,7.0

CA_029 LM_036
TP,FP,TN,FN,DICE,CC
661,6095,40059,2338,0.131,8.0

CA_029 MA_033
TP,FP,TN,FN,DICE,CC
2956,1341,44777,78,0.81,4.7

CA_029 MC_031
TP,FP,TN,FN,DICE,CC
4513,432,43958,249,0.929,1.0

CA_029 MF_037
TP,FP,TN,FN,DICE,CC
2548,2331,44136,137,0.673,3.0

CA_029 MP_034
TP,FP,TN,FN,DICE,CC
3782,653,44562,155,0.904,2.3

CA_029 SJP_028
TP,FP,TN,FN,DICE,CC
3680,753,44474,245,0.881,6.3

CA_029 SN_032
TP,FP,TN,FN,DICE,CC
4545,1608,40343,2657,0.68,7.7

