CMC_030 CA_029
TP,FP,TN,FN,DICE,CC
3782,260,44219,891,0.868,1.3

CMC_030 GM_035
TP,FP,TN,FN,DICE,CC
2692,1816,43822,822,0.691,13.0

CMC_030 LM_036
TP,FP,TN,FN,DICE,CC
2043,1094,45059,956,0.66,2.3

CMC_030 MA_033
TP,FP,TN,FN,DICE,CC
2591,379,45739,443,0.862,1.3

CMC_030 MC_031
TP,FP,TN,FN,DICE,CC
4440,301,44089,322,0.935,1.0

CMC_030 MF_037
TP,FP,TN,FN,DICE,CC
2620,663,45804,66,0.879,1.0

CMC_030 MP_034
TP,FP,TN,FN,DICE,CC
3470,316,44899,467,0.897,1.7

CMC_030 SJP_028
TP,FP,TN,FN,DICE,CC
3074,293,44934,851,0.844,1.0

CMC_030 SN_032
TP,FP,TN,FN,DICE,CC
5155,221,41729,2047,0.82,1.3

