GM_035 CA_029
TP,FP,TN,FN,DICE,CC
3368,556,43923,1305,0.785,4.7

GM_035 CMC_030
TP,FP,TN,FN,DICE,CC
98,10743,32480,5831,0.011,9.7

GM_035 LM_036
TP,FP,TN,FN,DICE,CC
67,11290,34864,2931,0.009,7.7

GM_035 MA_033
TP,FP,TN,FN,DICE,CC
900,13293,32825,2134,0.107,34.3

GM_035 MC_031
TP,FP,TN,FN,DICE,CC
2501,4397,39993,2261,0.507,52.3

GM_035 MF_037
TP,FP,TN,FN,DICE,CC
78,13749,32717,2607,0.01,10.0

GM_035 MP_034
TP,FP,TN,FN,DICE,CC
3553,525,44690,384,0.887,2.7

GM_035 SJP_028
TP,FP,TN,FN,DICE,CC
161,12671,32556,3764,0.019,8.0

GM_035 SN_032
TP,FP,TN,FN,DICE,CC
2,11318,30633,7199,0.0,5.0

