LM_036 CA_029
TP,FP,TN,FN,DICE,CC
2537,41,44438,2136,0.698,1.0

LM_036 CMC_030
TP,FP,TN,FN,DICE,CC
4712,1122,42101,1217,0.801,3.0

LM_036 GM_035
TP,FP,TN,FN,DICE,CC
0,86,45552,3514,0.0,19.7

LM_036 MA_033
TP,FP,TN,FN,DICE,CC
1212,63,46055,1822,0.562,1.0

LM_036 MC_031
TP,FP,TN,FN,DICE,CC
4190,166,44224,572,0.918,1.0

LM_036 MF_037
TP,FP,TN,FN,DICE,CC
2331,440,46026,354,0.86,1.3

LM_036 MP_034
TP,FP,TN,FN,DICE,CC
2211,58,45157,1726,0.711,1.0

LM_036 SJP_028
TP,FP,TN,FN,DICE,CC
2992,119,45108,933,0.851,1.0

LM_036 SN_032
TP,FP,TN,FN,DICE,CC
4638,162,41788,2564,0.773,1.3

