MA_033 CA_029
TP,FP,TN,FN,DICE,CC
2595,146,44334,2078,0.7,3.7

MA_033 CMC_030
TP,FP,TN,FN,DICE,CC
5465,2150,41074,464,0.806,9.7

MA_033 GM_035
TP,FP,TN,FN,DICE,CC
518,2989,42649,2996,0.15,86.7

MA_033 LM_036
TP,FP,TN,FN,DICE,CC
1886,1621,44532,1112,0.564,16.3

MA_033 MC_031
TP,FP,TN,FN,DICE,CC
4131,504,43886,631,0.879,2.3

MA_033 MF_037
TP,FP,TN,FN,DICE,CC
1540,2238,44229,1146,0.475,5.3

MA_033 MP_034
TP,FP,TN,FN,DICE,CC
2036,322,44893,1901,0.637,2.7

MA_033 SJP_028
TP,FP,TN,FN,DICE,CC
2804,963,44264,1121,0.726,8.3

MA_033 SN_032
TP,FP,TN,FN,DICE,CC
6485,662,41288,717,0.904,1.3

