MC_031 CA_029
TP,FP,TN,FN,DICE,CC
4007,431,44048,665,0.878,26.3

MC_031 CMC_030
TP,FP,TN,FN,DICE,CC
4288,1282,41942,1641,0.746,4.7

MC_031 GM_035
TP,FP,TN,FN,DICE,CC
1602,4157,41481,1911,0.343,73.3

MC_031 LM_036
TP,FP,TN,FN,DICE,CC
2284,1246,44907,715,0.69,5.0

MC_031 MA_033
TP,FP,TN,FN,DICE,CC
2597,221,45897,437,0.887,1.7

MC_031 MF_037
TP,FP,TN,FN,DICE,CC
2627,846,45620,58,0.857,1.3

MC_031 MP_034
TP,FP,TN,FN,DICE,CC
3166,899,44316,771,0.792,30.3

MC_031 SJP_028
TP,FP,TN,FN,DICE,CC
3635,250,44977,290,0.931,2.3

MC_031 SN_032
TP,FP,TN,FN,DICE,CC
4109,272,41679,3093,0.709,1.0

