MF_037 CA_029
TP,FP,TN,FN,DICE,CC
2890,40,44439,1783,0.756,1.3

MF_037 CMC_030
TP,FP,TN,FN,DICE,CC
4105,479,42744,1824,0.781,4.0

MF_037 GM_035
TP,FP,TN,FN,DICE,CC
47,5450,40189,3467,0.01,74.0

MF_037 LM_036
TP,FP,TN,FN,DICE,CC
2122,1154,45000,877,0.667,5.3

MF_037 MA_033
TP,FP,TN,FN,DICE,CC
2320,680,45438,714,0.77,2.7

MF_037 MC_031
TP,FP,TN,FN,DICE,CC
4191,115,44275,571,0.925,1.0

MF_037 MP_034
TP,FP,TN,FN,DICE,CC
1841,1168,44047,2096,0.532,62.3

MF_037 SJP_028
TP,FP,TN,FN,DICE,CC
3407,137,45090,518,0.913,1.0

MF_037 SN_032
TP,FP,TN,FN,DICE,CC
5170,68,41882,2032,0.832,1.0

