MP_034 CA_029
TP,FP,TN,FN,DICE,CC
4098,300,44179,575,0.904,1.0

MP_034 CMC_030
TP,FP,TN,FN,DICE,CC
3780,1380,41843,2149,0.681,15.0

MP_034 GM_035
TP,FP,TN,FN,DICE,CC
2989,278,45361,525,0.882,1.0

MP_034 LM_036
TP,FP,TN,FN,DICE,CC
2200,1433,44721,799,0.663,11.7

MP_034 MA_033
TP,FP,TN,FN,DICE,CC
2651,905,45213,383,0.805,4.3

MP_034 MC_031
TP,FP,TN,FN,DICE,CC
4436,378,44012,326,0.925,1.0

MP_034 MF_037
TP,FP,TN,FN,DICE,CC
2046,2702,43764,639,0.551,3.3

MP_034 SJP_028
TP,FP,TN,FN,DICE,CC
3383,597,44630,542,0.856,21.3

MP_034 SN_032
TP,FP,TN,FN,DICE,CC
4148,496,41454,3054,0.701,4.7

