SJP_028 CA_029
TP,FP,TN,FN,DICE,CC
3998,548,43931,675,0.867,10.3

SJP_028 CMC_030
TP,FP,TN,FN,DICE,CC
3901,760,42463,2028,0.736,7.7

SJP_028 GM_035
TP,FP,TN,FN,DICE,CC
1327,1496,44143,2187,0.371,19.0

SJP_028 LM_036
TP,FP,TN,FN,DICE,CC
2236,929,45225,763,0.723,8.7

SJP_028 MA_033
TP,FP,TN,FN,DICE,CC
2492,968,45150,542,0.767,5.0

SJP_028 MC_031
TP,FP,TN,FN,DICE,CC
4494,510,43880,268,0.919,5.3

SJP_028 MF_037
TP,FP,TN,FN,DICE,CC
2654,874,45593,32,0.855,2.7

SJP_028 MP_034
TP,FP,TN,FN,DICE,CC
3390,683,44532,547,0.844,7.3

SJP_028 SN_032
TP,FP,TN,FN,DICE,CC
5259,751,41200,1943,0.797,3.7

