SN_032 CA_029
TP,FP,TN,FN,DICE,CC
3532,395,44084,1140,0.815,6.3

SN_032 CMC_030
TP,FP,TN,FN,DICE,CC
4718,1189,42034,1211,0.798,3.0

SN_032 GM_035
TP,FP,TN,FN,DICE,CC
43,3411,42227,3470,0.012,20.0

SN_032 LM_036
TP,FP,TN,FN,DICE,CC
2336,1930,44223,663,0.637,5.0

SN_032 MA_033
TP,FP,TN,FN,DICE,CC
2841,851,45267,193,0.849,3.3

SN_032 MC_031
TP,FP,TN,FN,DICE,CC
4523,245,44145,239,0.949,1.7

SN_032 MF_037
TP,FP,TN,FN,DICE,CC
2631,2146,44320,55,0.705,3.0

SN_032 MP_034
TP,FP,TN,FN,DICE,CC
2275,1287,43928,1662,0.606,12.0

SN_032 SJP_028
TP,FP,TN,FN,DICE,CC
3721,576,44651,204,0.904,2.0

