20
imgName,TP,FP,TN,FN,DICE,CC
1.tif,4937,230,42720,1265,0.869,1
2.tif,4706,313,43744,389,0.931,1
3.tif,4254,612,43576,710,0.866,1
4.tif,4434,300,44033,385,0.928,1
5.tif,4499,95,44140,418,0.946,1
6.tif,4247,175,44267,463,0.93,1
7.tif,4135,108,44352,557,0.926,1
8.tif,3776,249,44496,631,0.896,1
9.tif,3509,241,44851,551,0.899,1
10.tif,3256,243,44988,665,0.878,1
11.tif,2933,315,45314,590,0.866,1
12.tif,2677,312,45360,803,0.828,1
13.tif,2244,330,45812,766,0.804,2
14.tif,1822,330,46211,789,0.765,1
15.tif,1398,309,47055,390,0.8,1
16.tif,971,474,47587,120,0.766,3

24
imgName,TP,FP,TN,FN,DICE,CC
1.tif,5665,161,42221,1105,0.899,1
2.tif,5383,275,42495,999,0.894,1
3.tif,4974,421,43048,709,0.898,1
4.tif,4478,538,43667,469,0.899,1
5.tif,4162,529,44126,335,0.906,1
6.tif,4016,371,44399,366,0.916,1
7.tif,3716,283,44854,299,0.927,1
8.tif,3378,340,45243,191,0.927,1
9.tif,3249,142,45371,390,0.924,1
10.tif,2856,342,45686,268,0.904,1
11.tif,2459,629,45812,252,0.848,1
12.tif,2457,495,46016,184,0.879,1
13.tif,2435,243,46149,325,0.896,1
14.tif,2070,328,46585,169,0.893,1
15.tif,1891,205,46814,242,0.894,2
16.tif,1476,449,47048,179,0.825,2

25
imgName,TP,FP,TN,FN,DICE,CC
1.tif,3133,1454,44548,17,0.81,1
2.tif,2829,1427,44866,30,0.795,1
3.tif,2494,1461,45151,46,0.768,1
4.tif,2097,1539,45499,17,0.729,3
5.tif,1947,1287,45875,43,0.745,2
6.tif,1618,1295,46234,5,0.713,1
7.tif,1238,1251,46660,3,0.664,2
8.tif,1281,722,47148,1,0.78,3
9.tif,1176,600,47350,26,0.79,3
10.tif,1017,649,47457,29,0.75,2
11.tif,914,721,47511,6,0.715,2
12.tif,738,799,47615,0,0.649,3
13.tif,625,771,47754,2,0.618,2
14.tif,532,771,47846,3,0.579,2
15.tif,522,640,47979,11,0.616,3
16.tif,451,687,47996,18,0.561,3

31
imgName,TP,FP,TN,FN,DICE,CC
1.tif,5569,294,43171,118,0.964,1
2.tif,5446,396,43282,28,0.963,1
3.tif,4808,892,43360,92,0.907,1
4.tif,4457,901,43666,128,0.897,1
5.tif,3989,1026,44065,72,0.879,1
6.tif,3738,813,44492,109,0.89,1
7.tif,3425,656,44886,185,0.891,2
8.tif,3181,529,45209,233,0.893,2
9.tif,2890,494,45409,359,0.871,3
10.tif,2440,671,45902,139,0.858,3
11.tif,1255,1539,46328,30,0.615,3
12.tif,1082,1428,46628,14,0.6,2
13.tif,997,1039,47103,13,0.655,2
14.tif,789,848,47505,10,0.648,2
15.tif,636,612,47900,4,0.674,2
16.tif,477,572,48103,0,0.625,3

34
imgName,TP,FP,TN,FN,DICE,CC
1.tif,2926,1707,44296,223,0.752,1
2.tif,2892,1708,44308,244,0.748,1
3.tif,2727,1690,44550,185,0.744,1
4.tif,2831,1403,44719,199,0.779,1
5.tif,2526,1491,45016,119,0.758,1
6.tif,2463,1321,45237,131,0.772,1
7.tif,2658,955,45345,194,0.822,1
8.tif,2635,738,45630,149,0.856,1
9.tif,2242,647,46134,129,0.852,1
10.tif,2235,426,46253,238,0.871,1
11.tif,1922,488,46584,158,0.856,1
12.tif,1689,537,46878,48,0.852,1
13.tif,1550,550,46859,193,0.807,1
14.tif,1307,655,47021,169,0.76,3
15.tif,1314,485,47162,191,0.795,3
16.tif,1242,526,47180,204,0.773,2

37
imgName,TP,FP,TN,FN,DICE,CC
1.tif,5446,607,42826,273,0.925,1
2.tif,4966,920,43064,202,0.898,1
3.tif,4712,765,43380,295,0.899,1
4.tif,4491,659,43930,72,0.925,1
5.tif,4549,408,43970,225,0.935,1
6.tif,4485,320,43952,395,0.926,1
7.tif,4249,352,44269,282,0.931,1
8.tif,3920,255,44488,489,0.913,2
9.tif,3104,294,45470,284,0.915,2
10.tif,2238,713,45912,289,0.817,2
11.tif,1865,606,46377,304,0.804,4
12.tif,1655,548,46574,375,0.782,3
13.tif,1006,819,47004,323,0.638,3
14.tif,994,432,47400,326,0.724,3
15.tif,738,351,47827,236,0.715,3
16.tif,677,275,47997,203,0.739,3

