20
imgName,TP,FP,TN,FN,DICE,CC
1.tif,625,0,42950,5577,0.183,3
2.tif,1250,0,44057,3845,0.394,3
3.tif,1491,109,44079,3473,0.454,2
4.tif,1905,301,44032,2914,0.542,2
5.tif,2635,125,44110,2282,0.686,2
6.tif,2902,213,44229,1808,0.742,2
7.tif,3226,78,44382,1466,0.807,2
8.tif,3268,362,44383,1139,0.813,2
9.tif,3161,641,44451,899,0.804,3
10.tif,2967,1171,44060,954,0.736,2
11.tif,2579,1760,43869,944,0.656,2
12.tif,2340,2196,43476,1140,0.584,1
13.tif,1984,2645,43497,1026,0.519,3
14.tif,1509,2917,43624,1102,0.429,4
15.tif,1133,3233,44131,655,0.368,2
16.tif,691,2238,45823,400,0.344,3

24
imgName,TP,FP,TN,FN,DICE,CC
1.tif,960,812,41570,5810,0.225,6
2.tif,1434,1169,41601,4948,0.319,1
3.tif,1611,1185,42284,4072,0.38,1
4.tif,1973,1033,43172,2974,0.496,1
5.tif,2284,1012,43643,2213,0.586,1
6.tif,2686,897,43873,1696,0.674,1
7.tif,3000,822,44315,1015,0.766,1
8.tif,3411,786,44797,158,0.878,2
9.tif,3533,944,44569,106,0.871,2
10.tif,2949,1811,44217,175,0.748,2
11.tif,2360,2529,43912,351,0.621,2
12.tif,2098,3185,43326,543,0.53,3
13.tif,2142,3598,42794,618,0.504,4
14.tif,1645,4487,42426,594,0.393,3
15.tif,1410,4986,42033,723,0.331,2
16.tif,932,4503,42994,723,0.263,1

25
imgName,TP,FP,TN,FN,DICE,CC
1.tif,634,0,46002,2516,0.335,1
2.tif,758,0,46293,2101,0.419,1
3.tif,837,0,46612,1703,0.496,1
4.tif,1001,0,47038,1113,0.643,2
5.tif,1227,17,47145,763,0.759,1
6.tif,1299,142,47387,324,0.848,1
7.tif,1152,393,47518,89,0.827,1
8.tif,1280,448,47422,2,0.85,1
9.tif,1202,665,47285,0,0.783,1
10.tif,1045,996,47110,1,0.677,1
11.tif,918,1255,46977,2,0.594,2
12.tif,738,1713,46701,0,0.463,2
13.tif,627,2116,46409,0,0.372,2
14.tif,535,2397,46220,0,0.309,2
15.tif,533,2451,46168,0,0.303,1
16.tif,469,1830,46853,0,0.339,2

31
imgName,TP,FP,TN,FN,DICE,CC
1.tif,273,0,43465,5414,0.092,1
2.tif,580,13,43665,4894,0.191,3
3.tif,870,57,44195,4030,0.299,3
4.tif,1356,227,44340,3229,0.44,2
5.tif,1776,381,44710,2285,0.571,3
6.tif,2277,509,44796,1570,0.687,3
7.tif,2669,465,45077,941,0.792,5
8.tif,3118,681,45057,296,0.865,1
9.tif,3041,1216,44687,208,0.81,2
10.tif,2418,2393,44180,161,0.654,2
11.tif,1200,3890,43977,85,0.376,1
12.tif,1023,4468,43588,73,0.311,1
13.tif,924,4832,43310,86,0.273,1
14.tif,684,5309,43044,115,0.201,1
15.tif,553,5599,42913,87,0.163,1
16.tif,186,4753,43922,291,0.069,1

34
imgName,TP,FP,TN,FN,DICE,CC
1.tif,552,235,45768,2597,0.28,7
2.tif,838,771,45245,2298,0.353,1
3.tif,994,776,45464,1918,0.425,1
4.tif,1193,877,45245,1837,0.468,1
5.tif,1553,737,45770,1092,0.629,1
6.tif,1879,673,45885,715,0.73,2
7.tif,2140,538,45762,712,0.774,1
8.tif,2434,460,45908,350,0.857,2
9.tif,2355,882,45899,16,0.84,1
10.tif,2376,1089,45590,97,0.8,1
11.tif,1922,1565,45507,158,0.69,1
12.tif,1454,2045,45370,283,0.555,1
13.tif,1249,2251,45158,494,0.476,2
14.tif,905,2578,45098,571,0.365,1
15.tif,840,2730,44917,665,0.331,1
16.tif,660,1912,45794,786,0.329,1

37
imgName,TP,FP,TN,FN,DICE,CC
1.tif,967,66,43367,4752,0.286,1
2.tif,1084,211,43773,4084,0.335,1
3.tif,1223,198,43947,3784,0.381,1
4.tif,1398,400,44189,3165,0.44,2
5.tif,1693,359,44019,3081,0.496,3
6.tif,2101,306,43966,2779,0.577,2
7.tif,2400,252,44369,2131,0.668,2
8.tif,3094,140,44603,1315,0.81,2
9.tif,2844,1089,44675,544,0.777,2
10.tif,2020,2523,44102,507,0.571,1
11.tif,1664,3031,43952,505,0.485,1
12.tif,1348,3522,43600,682,0.391,1
13.tif,457,4362,43461,872,0.149,1
14.tif,382,4536,43296,938,0.122,1
15.tif,139,4964,43214,835,0.046,1
16.tif,0,3654,44618,880,0.0,1

